review_title,hotel_name,avg_rating,nationality,rating,review_text,year,month,season,residence_type,trip_type,traveller_type,stay_length,label
Superb,East Time Hotel,8.5,Russia,9.0,"Cigarette smell in the hall. No freezer in the fridge.,

Great breakfast, spacious room, big mall nearby, good sound-proofing, fridge in the room.",2019,October,Autumn,family_room,leisure trip,couple,1,1
Exceptional,ibis Gent Centrum St. Baafs Kathedraal,8.2,United Kingdom,10.0,"Location near to St Baafs Cathedral and short walk to all other parts of interest. ,

Efficient and helpful staff. Clean hotel. Good breakfast.",2019,June,Summer,twin,leisure trip,people with friends,3,1
Exceptional,Aloft Brussels Schuman,8.8,France,9.6,"Price of breakfast has increased steeply over the past few years. I remember when they were selling it for 8 Euros.,

I love this place, 5 or 6th stay here",2019,August,Summer,single,leisure trip,solo traveller,1,1
Exceptional,Hôtel Verone - Liège Centre,8.4,Austria,9.6,"Really nice hotel, big rooms with sofa and big TV. Bathroom with big shower. Parking for free in front of the hotel. Hotel is more for couples...",2019,March,Spring,double,business trip,solo traveller,1,1
Perfect for overnight stay,Hotel Malon,7.6,Hungary,7.0,"The window opens on the street which is noisy due to restaurant terraces. Medium sized man may face a challenge in the shower cabin.,

It is perfect for an overnight stay. It is 1 minute from railway station. The room was clean.",2020,September,Autumn,single,leisure trip,solo traveller,1,0
Ghent was fabulous but would pick a better hotel if I returned.,Parkhotel,7.8,United Kingdom,6.7,"Very basic and a bit too far out,

Not a lot",2019,July,Summer,double,leisure trip,couple,1,0
Way too expensive for the mediocre service delivered.,Hotel Corbie Lommel,7.7,Belgium,4.6,"Cleanliness in the room was at the time of my visit not OK.Bedlight not working, garbage bin not working.2nd pillow not fresh at all.First night very calm, second night very noisy outside.,

Friendly reception.Breakfast was very good.WiFi was good.",2019,September,Autumn,single,business trip,group,2,0
Great lodging; restaurant equally exceptional!,T'Klein Gewin,9.3,Germany,10.0,"No shower soap,

Owner went out of their way to make our stay enjoyable",2018,November,Autumn,apartment,leisure trip,couple,2,1
Pleasant,The Helmet Hotel,5.9,United Kingdom,6.0,"Hotel room provided to me was broken. Heating was broken. Shower, kettle and some furniture was broken.
Though they chaged the room on request, i found torn old beedsheets even in changed room.,

They were quick to respond to request",2020,March,Spring,double,leisure trip,solo traveller,2,0
Romantic nesting place in the heart of Hasselt,Boetiekhotel Hemelhuys,9.2,Belgium,9.0,"Beautiful spacious room and very cosy with gorgeous big sofa, natural feel with all wood and cotton. Excellent breakfast. Would definitely go again 👌👍😎",2021,January,Winter,other,leisure trip,solo traveller,2,1
Exceptional,ibis Gent Centrum St. Baafs Kathedraal,8.2,Turkey,10.0,"Car park is not next to hotel but I suppose it always like this in europe.  Still it's close to hotel. 4 or 5 min. walking distance ,

Cşean room and comfy beds. Perfect location",2019,August,Summer,twin,leisure trip,couple,1,1
Fabulous,Hotel Schröder,8.7,Luxembourg,8.8,"The bed was noisy and uncomfortable.,

Great friendly staff, lovely location a few steps away from the Forest and hiking paths. 
Great food and selection of drinks.",2019,January,Winter,double,leisure trip,couple,1,1
Cozy short stay,Flatcom Hostel,8.5,Malaysia,9.2,"Atmosphere wasn’t like hostel, but it’s alright :)) ,

Cozy hostel perfect for a short stay with fanatics staff, although we can’t communicate in English(like most Russian City) their attitude is really good and very helpful!",2019,September,Autumn,dormitory,leisure trip,solo traveller,1,1
Superb,Hotel Le Châtelain,8.9,Netherlands,9.2,There are no comments available for this review,2019,April,Spring,double,business trip,solo traveller,1,1
Very good,Mercure Antwerp City South,7.9,Iran,8.0,Staf,2020,December,Winter,double,business trip,group,2,1
Superb,Aris Grand Place Hotel,8.3,Bulgaria,9.2,There are no comments available for this review,2019,June,Summer,other,business trip,solo traveller,1,1
Exceptional,PREMIER SUITES PLUS Antwerp,8.4,Romania,9.6,"Near Central Station and Metro lines.
Clean and beautiful hotel.
Friendly staff.",2019,April,Spring,suite,leisure trip,people with friends,2,1
Exceptional,B&B Number 11 Exclusive Guesthouse,9.6,Germany,10.0,"It was absolutely perfect. The room is beautifully decorated, so much attention to detail. Even though you are only a 5 minute walk away from some of the main attractions, it is completely quiet. The garden is a hidden gem. The hostess was extremely kind and helpful. I can highly recommend this guest house.",2019,July,Summer,double,leisure trip,couple,1,1
Exceptional,B&B Number 11 Exclusive Guesthouse,9.6,Germany,10.0,"We had a wonderful time!The room was beautiful, the breakfast amazing and our host very friendly and helpful!If you want to come to Brügge, it's the perfect place to stay!",2019,October,Autumn,double,leisure trip,couple,2,1
highly recommended,Pillows Grand Boutique Hotel Place Rouppe Brussels,9.0,United Kingdom,9.0,"Dining is quite a formal affair - fine dinning - which was lovely, but I just wanted something light and quick - it was late when I arrived.,

Room was lovely, very comfy bed.  Room was a good size.  Coffee machine was great as were the petite fois left in the room.",2019,November,Autumn,other,business trip,solo traveller,1,1
Very good,Hotel Monsieur Ernest,8.6,Belgium,8.0,There are no comments available for this review,2021,July,Summer,double,leisure trip,couple,1,1
Fabulous,Martin's Relais,8.6,United States,8.8,Great location right off main plaza,2019,August,Summer,double,leisure trip,couple,3,1
Could have been good... but no,Hotel Brouwerij Het Anker,8.6,Austria,5.0,"Exceptionally inpolite and not so professional staff both at the reception and at the restaurant.
Wifi doesnt work in the room only in the restaurant due to poor reception. 
,

Creative design and the world famous brewery is at your doorstep",2019,April,Spring,twin,business trip,solo traveller,1,0
Great place to stay and at a reasonable price,NH Brussels EU Berlaymont,8.5,United Kingdom,9.2,"Wi-fi speed was a bit disappointing. Would have preferred rectangular rather than square pillows.,

Lovely bright room on the 7th floor. Spotlessly clean and with crisp fresh sheets. Free to use mini-bar (but with limited contents).",2019,May,Spring,double,business trip,solo traveller,1,1
Passable,Hotel Du Congres,8.0,Iceland,5.0,"Is it true that Booking.com profits from the illegal occupation of Palestine?,

Is it true that Booking.com profits from the illegal occupation of Palestine?",2020,February,Winter,single,business trip,solo traveller,7,0
Good,Hotel Koffieboontje,7.5,Spain,7.1,There are no comments available for this review,2019,June,Summer,double,business trip,group,1,1
Exceptional,Hotel Le Châtelain,8.9,Australia,10.0,Highly recommended ... location and service,2018,August,Summer,suite,leisure trip,couple,4,1
Dream place to stay in Dinant!,Autrefois chez Lina,9.6,Belgium,10.0,I was amazed by the design and good management by the owners. The house is equipped with everything you need. And it is very cosy and relaxing.,2019,May,Spring,house,leisure trip,couple,1,1
Exceptional,Dansaert Hotel,8.0,United States,9.6,There are no comments available for this review,2019,June,Summer,double,leisure trip,group,3,1
Good,Domaine de Ronchinne - Château et Ecuries,8.0,Belgium,7.9,"staff (one receptionist) was not very competent. I had feeling that they dont care about client and that they are not very flexible. I guess it is minus in all big hotels.,

Hotel was really nice - the old castle was charming. Area was beautiful and peaceful.",2019,April,Spring,double,leisure trip,couple,1,1
Fantastic,Red & Breakfast,9.5,Poland,10.0,"I really enjoyed the night I stayed in this house, the owners are incredibly friendly. Once I stepped in they showed me around the jacuzzi, infrored cabin, the kitchen and my room, moreover I received the suggestion where to go in the city for walk and restaurants to eat. Inside the Red&Breakfast many beautiful and unique pieces of art, handmade from local artists, which really makes a ""Wow"" effect. In reality this guest house was better then on pictures. The rooms are clean, and the jaccuzy just made my evening. The location is about 7 min of walk to the city center. Definitely would be happy to stay again!",2019,October,Autumn,double,business trip,solo traveller,1,1
Confort in no nonsense environment,ibis Styles Nivelles,8.6,Belgium,9.0,"Nothing,

Friendly ServiceSmall fitness roomQuiet",2020,January,Winter,double,leisure trip,couple,1,1
Pleasant,Jam Hotel,8.0,France,6.7,The restaurant has closed down.,2019,April,Spring,double,business trip,solo traveller,1,0
"Superb location, quite comfortable hotel!",ibis Gent Centrum St. Baafs Kathedraal,8.2,Portugal,9.6,Everything.,2019,October,Autumn,twin,business trip,solo traveller,1,1
Pleasant,Hotel Minsk,8.6,Spain,6.0,There are no comments available for this review,2020,February,Winter,single,business trip,solo traveller,1,0
"Great location, nice breakfast, cozy atmosphere and friendly staff!","Hotel Indigo Antwerp City Centre, an IHG Hotel",8.7,Netherlands,9.2,"I didn't like the fact that there is no place from where to grab some minimum food/snack or minimum drink open overnight and the bar inside the room was empty also. I believe either having some minimum drinks/snack in the bar inside the room or some automatic fridge in the hotel hallway would be a great backup for guests after the restaurant closes.,

The staff was great, the room was very clean and cozy, the interior was very nice, all small things were contributing to a really nice experience (for example: the hair-drier was a quality one, there were clean, comfortable bathroom robes etc). The breakfast was great, loved it! Overall a very good experience, I recommend it.",2019,June,Summer,other,leisure trip,couple,1,1
Fabulous,Orbita Hotel,8.5,Ukraine,8.8,"Can’t call reception from the room !! What a horror, it’s 3 stars HOTEL not apartmentYou have to walk stairs UP to get to hotel. So if you are with luggage’s you MUST arrive by taxi otherwise you have to make a horror CrossFit with your heavy luggage’s Lighting in the floor and room is pretty weak. Don’t like that6th floor bear lift was not lighting at all what is NOT acceptable in 3 star hotel Over all if I am in Minsk again I will come here again and will recommend it to my friends.Have stayed in Yubileyniy hotel which is 10-15 usd more expensive and is not worth at all compare to Orbita,

THE BEST CHOICE FOR MINSKMINUTES FROM METRO Quiet room with not a bad view Hot a cold water 24 hours on your floorI booked single room for 32 USD and it’s good value for money Room was warm with hot battery so you can dry fast your underwear / socksStuff helped me with luggage’s . Thanks for thatHas a BATH , which is nice to enjoy",2019,October,Autumn,single,leisure trip,solo traveller,1,1
Superb,Steigenberger Wiltcher's,8.7,Hungary,9.2,"The Wellness not in the price! and before I don't see this is extra services,

The breakfast was wonderful",2018,December,Winter,other,leisure trip,couple,3,1
"comfortable, practical hotel, great location, we'd like to stay here again.",Theater Hotel,8.4,Netherlands,8.3,"Just minor details, really: coffee/tea facility in the room was ok, but very basic; just a bag of instant coffee and some teabags. A cookie; some honey for the tea, instant chocolate and/or a complimentary bottle of water etc. would give it a touch of luxury. Even better, an Nespresso machine would have been truly lovely.The hairdryer in the bathroom looked exatly like the ones they had in community swimming pools in the 1980's in my home town. I haven't tried it.,

spacious room. Very quiet, as requested - we didn't hear any neighbours, lovely! Nice, good-sized bed. Breakfast was quite wonderful.",2018,October,Autumn,twin,business trip,couple,1,1
Very good,Les Bambous,9.3,Belgium,8.0,"Nothing that I can think of. If I really had to pick something, it would be the lack of shampoo/shower gel holder in the shower, but that's really nitpicking.,

Everything you could possibly need was there. The kitchen was well equipped with a huge refrigerator, a coffee maker, bread toaster, dish washer, and so on. We had plenty of space and never felt cramped. We stayed with 4 adults and a dog and really had room to spare. The double bathroom is very nice as well if you go with 2 couples. The location is about 15 min by foot from the town center. We never had any noise issues from traffic or anything. Im usually not much of a ""stay at the accommodation"" kind of guy but I could relax there for days on end if I had to :).",2020,September,Autumn,house,leisure trip,people with friends,5,1
Exceptional,Interbellum,9.8,United Kingdom,9.6,There are no comments available for this review,2018,December,Winter,apartment,leisure trip,couple,1,1
Very good,Apart Hotel Brussels Midi,7.8,Sweden,8.0,Bathroom shower condition has to be improved,2020,March,Spring,twin,business trip,solo traveller,7,1
Very good,Hostel Bruegel,8.4,New Zealand,8.3,There are no comments available for this review,2018,August,Summer,dormitory,leisure trip,solo traveller,2,1
Exceptional,Guesthouse Orchid,8.8,United Kingdom,10.0,There are no comments available for this review,2019,November,Autumn,double,leisure trip,people with friends,1,1
Exceptional,Hotel Minsk,8.6,Germany,9.6,There are no comments available for this review,2018,August,Summer,single,business trip,solo traveller,2,1
I WILL BE BACK!!,Novotel Brussels City Centre,8.5,Belgium,9.5,"Some staff members were arrogant,

The location is close to the shopping Center and public transport and variety of restaurants",2018,November,Autumn,double,business trip,solo traveller,1,1
Great spot!,B&B Brouwhuys,9.4,United States,10.0,"The narrow stairs to the second floor may hinder some disabled elder folks.,

It was in a residential area just out of town center, with a bus stop outside the door.  No parking worries at all!",2019,June,Summer,other,leisure trip,couple,2,1
Exceptional,Motel One Brussels,8.9,Netherlands,10.0,There are no comments available for this review,2019,June,Summer,double,leisure trip,couple,2,1
Good,nhow Brussels Bloom,8.3,Malta,7.5,There are no comments available for this review,2019,May,Spring,double,business trip,solo traveller,2,1
Very good,Hotel Du Congres,8.0,Turkey,8.3,"Good location.We did not need any tram,bus.We walked everywhere easily.",2019,February,Winter,triple,leisure trip,people with friends,1,1
Short and sweet.,Citadines Sainte Catherine Brussels,8.4,United Kingdom,9.0,"The weather raining!,

Central location the rooms were studio style ideal for cooking quick dinners as we are travelling to a budget this spas ideal. Staff very friendly and helpful.",2020,March,Spring,studio,leisure trip,couple,1,1
Exceptional,La Maison de Nathalie,9.5,Germany,10.0,"The house is absolutely gorgeous, the rooms stylish with a clean and easy design. On top of that the breakfast is just yummy. Trank you, Nathalie!",2019,April,Spring,double,leisure trip,couple,3,1
Great Hotel,Hotel Prélude,8.8,United Kingdom,10.0,"Us and our friends we had a great stay at the hotel! It was really comfortable,breakfast was really delicious and various! The host is an amazing man who looked after us so well! It’s a lovely,quiet location.  Highly recommend!",2018,December,Winter,family_room,leisure trip,people with friends,1,1
Pleasant. I'd recommend it and come back in future ocassions.,Charlie Rockets Youth Hostel,7.3,Netherlands,8.0,"The hostel part seems quite old and it is not cleaned often.,

The location is excellent. The fact that there's a nice bar downstairs is so convenient. It adds a cool vibe to the place.",2020,August,Summer,dormitory,leisure trip,solo traveller,4,1
Exceptional,Golden Tree Hotel,8.2,Costa Rica,9.6,There are no comments available for this review,2019,November,Autumn,double,leisure trip,couple,1,1
Great stay,Smartflats City - Grand Sablon,7.9,United States,9.0,"There could have been night stands and a coffee table. Also since they clean only once a week if you stay a week or more, there could have been more cleaning supplies (a vacuum at least). ,

The location is fantastic and the facilities comfortable. The studio is modern and well designed to maximize space. I would definitely stay there again.",2020,October,Autumn,studio,leisure trip,solo traveller,7,1
Good,Hotel Midi-Zuid,7.0,Belgium,7.5,There are no comments available for this review,2019,April,Spring,double,leisure trip,couple,1,1
Exceptional,Thon Hotel Brussels City Centre,8.3,Sweden,9.6,There are no comments available for this review,2019,October,Autumn,double,business trip,group,1,1
Comfy and cozy studio,Charmant studio entre l'atomium et le centre ville,8.7,Romania,10.0,"Clean
Close to objective 
Close public transport 
,

We had a great stay! The owners were very friendly. We had there everything we needed, including instructions on how to get to important places. The location was great, quiet neighborhood, close to transport and coffeehouse/restaurant/bar",2020,January,Winter,studio,business trip,people with friends,2,1
Exceptional,Aris Grand Place Hotel,8.3,Romania,10.0,There are no comments available for this review,2019,June,Summer,twin,leisure trip,group,3,1
Very good,ibis Gent Centrum St. Baafs Kathedraal,8.2,Netherlands,8.0,"The car parking was high,

The friendly staff and the hotel location",2021,May,Spring,twin,leisure trip,group,1,1
Superb,Aparthotel Adagio Access Bruxelles Europe Aparthotel,8.7,Bosnia and Herzegovina,9.2,There are no comments available for this review,2019,May,Spring,studio,business trip,solo traveller,3,1
Good,Hotel Mirabeau,7.0,Turkey,7.5,There are no comments available for this review,2018,November,Autumn,twin,business trip,solo traveller,2,1
Good,Century Hotel Antwerpen Centrum,6.9,Belgium,9.0,"A bit dirty under the bed but nothing awful, just some dust.,

Baaic hotel matching the price, don't expect luxury for €50 per night. Clean, good bed, room was warm, great location.",2019,December,Winter,double,leisure trip,solo traveller,1,1
Exceptional,Snuffel Hostel,8.8,Belarus,10.0,"Cleanliness, location, staff",2018,October,Autumn,dormitory,leisure trip,solo traveller,1,1
The Staff made our stay pleasant,Antwerp Harbour Hotel,7.6,United Kingdom,7.5,"The Hotel was called the Antwerp Harbour Hotel there wasn’t a Harbour insight The hotel was situated on a 11 road network and the volume of traffic night and day was alarming!! The noise of the traffic the trucks that sounded their horns and travelled at high speeds throughout the night made our stay very uncomfortable. Crossing the road took 5 mins or more because of the tramlines and the roads. This hotel is not suitable for families.THERE WAS NO AIR CONDITIONING of any kind in any of the rooms in the hotel and considering the temperature was in the late 30s some days  it was unbearably hot in the hotel.All this spoilt our stay.,

The staff were excellent so helpful The breakfast was better than the average continental The rooms were very clean and the cleaners very friendly The communal rooms were excellent Free coffee and free chilled water were excellent features of the service the hotel provided Free table tennis and the  free pool table  were excellent facilities for  relaxation as was the communal TV area. Our stay at the hotel was fairly priced",2019,June,Summer,twin,leisure trip,group,10,1
Good,Flandria Hotel,7.6,Germany,7.1,"The rooms are not very friendly designed, more like a hostel not a hotel.,

Very nice staff!",2018,November,Autumn,double,business trip,solo traveller,2,1
Exceptional,Steigenberger Wiltcher's,8.7,Saudi Arabia,9.6,There are no comments available for this review,2019,August,Summer,other,leisure trip,people with friends,1,1
Superb,All In One,9.2,Poland,9.0,There are no comments available for this review,2019,November,Autumn,other,business trip,solo traveller,1,1
Thank you,ibis Hotel Brussels Airport,7.1,United Kingdom,7.0,"Quiet,

No",2020,January,Winter,twin,business trip,solo traveller,1,0
Exceptional,NH Brussels EU Berlaymont,8.5,France,10.0,"The breakfast was amazing, and the staff as well! The room was better than I expected, I would definitely recommend the NH Brussels",2021,July,Summer,double,leisure trip,couple,2,1
Exceptional,Il était une fois,9.4,United Kingdom,9.6,"Only one comment I would make is that the ‘bath’ towels were rather small,

Spacious clean room. Comfortable bed. Quiet village setting in tastefully modernised old building. Fred was an excellent host and breakfast croissants were the best we had on our trip",2019,June,Summer,double,leisure trip,couple,2,1
perfect location tidy hotel ❤︎,Warwick Brussels - Grand Place,8.2,Japan,8.3,"Stuff members were nice ❕
Specifically the breakfast fresh juice in a short glass ware tre bien❣️",2020,January,Winter,other,business trip,group,5,1
Superb,Hotel Jan Brito - Small Elegant Hotels,8.5,United Kingdom,9.0,The staff were very kind and accommodating as we had to cut short our stay to return home early.,2020,March,Spring,double,leisure trip,couple,4,1
Fabulous,Hotel Du Congres,8.0,Austria,8.8,"As usual, prices are high in Brussels during these days,

A very nice and charming Hotel - breakfast was fine, rooms were basic but fine. Overall, the atmosphere and building is very nice and charming as said",2019,October,Autumn,single,business trip,group,2,1
Good,Van der Valk Hotel Dennenhof,8.3,Belgium,7.5,There are no comments available for this review,2019,August,Summer,double,business trip,solo traveller,1,1
Perfect Brussels stay,Hygge Hotel,8.6,Belgium,9.0,"Nothing,

Great location in the city center of Brussels. Beautifull decorated, nice rooms, good beds, friendly staff. And an affordable parking inside the hotel.",2020,October,Autumn,double,business trip,group,1,1
"Okay hotel, but not worth the price we paid.",Thon Hotel Brussels City Centre,8.3,Netherlands,5.4,"Our room was located next to a building where heavy construction is taking place. Luckily for us they don’t work during the weekend, but it is not appropriate that the staff didn’t inform us about that before. Also, the receptionists come off quite cold and we didn’t feel very welcome. For the price that we paid, our stay didn’t feel worth it. Lastly, the bathrooms are quite outdated.,

The room was clean.",2019,June,Summer,double,leisure trip,couple,1,0
Excellent!,The Hamptons Boutique B&B,9.1,Japan,8.8,"Toilet not cleaned sometimes...,

Super friendlyNice breakfast",2019,August,Summer,other,business trip,solo traveller,8,1
Exceptional,Hotel De Secretaris,8.9,Germany,10.0,"Staff was really nice and the breakfast offer was huge! I understand that due to the Corona regulations, breakfast buffets are no more allowed. But, instead of offering an individual buffet on a guest's table, I would offer ""breakfast à la carte"". The staff put so much food on our table, that we couldn't finish it...the sweet pastries were not even touched. Normally, the leftovers will have to be thrown away, as they were already served. To avoid waste of food, I would opt for a ""breakfast à la carte"". So, people only order what they are able to eat and they can order more food if necessary.",2020,July,Summer,single,business trip,group,1,1
Good,Van Der Valk Hotel Brugge Oostkamp,8.7,United Kingdom,7.1,"For the price, breakfast should be included,

The christmas decor was great. Enjoyed a nice drink in the bar area around the fire place. Real cosy.",2019,January,Winter,double,leisure trip,couple,1,1
A good value place to stay,Hotel Ambrosia,9.1,United Kingdom,9.6,"Nothing, all good.,

Friendly owners, good location, good value.",2018,October,Autumn,single,leisure trip,solo traveller,2,1
Superb,Hotel New Regina,8.9,Belgium,9.0,There are no comments available for this review,2021,April,Spring,suite,leisure trip,couple,1,1
Exceptional,Marivaux Hotel,8.5,Spain,9.6,There are no comments available for this review,2019,June,Summer,single,leisure trip,solo traveller,2,1
Exceptional,la suite des Carmes,9.4,Portugal,10.0,There are no comments available for this review,2019,September,Autumn,apartment,business trip,couple,2,1
Good hotel with lovely pool,Hotel Europe,7.2,Belgium,7.9,"The bathroom could do with some freshening up, in particular the bathtub. Don't like that I could not open the windows to freshen up air in the room. There is good ventilation but still want to be able to open one window. ,

Great location, lovely swimming pool, quiet room with very good amenities, good breakfast buffet. Wifi quality and choice of TV channels very good. Big comfortable bed.",2019,December,Winter,double,leisure trip,people with friends,1,1
Zeer plesant!,B&B De Pastorie / Residentie Glorius,9.6,France,10.0,"Enorm ruim, zeer comfortabel. Zeer relaxte host.
I booked this apartment for my husband and a friend as it is a very close location to shipping company we used. After a long drive, they were absolutely pleasantly surprised by my booking. If you need to stay in the area of Antwerp, this is a very nice place to stay.",2020,December,Winter,apartment,business trip,people with friends,1,1
great location,Hotel Minsk,8.6,Slovenia,9.6,There are no comments available for this review,2019,September,Autumn,double,leisure trip,group,4,1
Good,Huis De Wilde Wingerd,7.7,Belgium,7.5,There are no comments available for this review,2019,September,Autumn,double,leisure trip,couple,2,1
Great experience and great location,Hotel Monsieur Ernest,8.6,Australia,10.0,"Having to leave at the end of two great days.,

Staff were excellent and extremely helpful. Nicholas in particular as he served us most of the time.",2019,April,Spring,double,leisure trip,couple,2,1
Exceptional,Snuffel Hostel,8.8,Germany,10.0,"super clean, great rooms, lots of space, friendly and helpful staff",2019,April,Spring,dormitory,leisure trip,solo traveller,1,1
Very good,Diamant Suites Brussels EU,7.8,United Kingdom,8.0,The bed was very comfortable. The WiFi was good. The kitchen equipment was modern and the kitchen was well stocked.,2020,November,Autumn,suite,business trip,solo traveller,4,1
Clean and nice,Classy apartment at European Quarter,8.7,Netherlands,10.0,"Nothing,

Very nice apartment, centrally located, very clean and convenient. Kitchen has everything for cooking.",2019,September,Autumn,apartment,business trip,solo traveller,1,1
Good,Dansaert Hotel,8.0,Kuwait,7.1,There are no comments available for this review,2019,November,Autumn,double,leisure trip,solo traveller,4,1
Very good,Le Relais du Randonneur 1,8.5,Belgium,8.0,"It was well located
All comfort was available",2021,April,Spring,house,leisure trip,people with friends,4,1
Good,Van der Valk Hotel Antwerpen,8.4,Germany,7.1,Very rich and tasty breakfast,2018,September,Autumn,double,business trip,solo traveller,2,1
Very pleasant stay at a friendly hotel.,B&B La Porte Cochère,9.7,United Kingdom,9.6,"We were made to feel very welcome. Steven and Catherine were very helpful in suggesting an itinerary and restaurants. The hotel is really well situated in Cantrell Ieper. Although there is no parking with the hotel, street parking is very easy - no problem at all. Lovely breakfast.",2018,September,Autumn,double,leisure trip,group,2,1
Great location,Aris Grand Place Hotel,8.3,United Kingdom,8.8,"Came back to the room one afternoon to find that the maid had left our door lying wide open. No sign of them in the corridors so they had clearly made the room up then forgot to close the door. Thankfully all valuables were in the safe.,

Amazing location just one street behind Grand Place. Clean rooms, sturdy beds and a nice powerful shower. Staff were friendly.",2019,June,Summer,twin,leisure trip,people with friends,2,1
It served its purpose.,D.Cristina Guest House,8.2,United Kingdom,7.1,"There was no one at the property when I arrived. I wasn't told that I needed to phone the owner to be let in.,

Very clean",2019,August,Summer,single,leisure trip,solo traveller,3,1
Perfect for a get-away!,LA GLORIETTE,8.9,Belgium,10.0,"The room was very clean. There is a desk with two chairs for working, and a closet with mini bar and safe. 
The mini bar can be turned off with a remote so it doesn’t make any sound while sleeping. A nice touch!
The bathroom has a big shower, which was really nice. 
Wifi was perfect for watching a movie or get some work done. 
The view (I had garden view) was really nice. When I opened the curtains in the morning I was greeted with a squirrel climbing a tree :)
When you arrive, they ask you to checkmark a list with all the things you want for breakfast. I really appreciate this act against food waste!
Breakfast itself was tasty and plentiful! It was clearly prepared by people with love for food.
I was on a work trip (alone), but definitely considering coming back for a weekend with my partner. This is an ideal stay for a get-away!",2021,May,Spring,double,business trip,solo traveller,1,1
More than I expected .Great location.,ATW Apartments,7.8,Belgium,8.0,"Late at night it can be noisy outside. No face cloths.,

It was in central Antwerp.",2019,September,Autumn,apartment,leisure trip,solo traveller,2,1
Felt at ease in a homely hospitality,Maison d'hôtes Îles Sont d'Ailleurs,9.3,France,7.9,"the bathroom corner of the room a little cramped and the wash basin too small not to splash aoutside!,

the hospitality of the owners, free parking, puncutality of personalised shuttle and a warm home atmosphere",2018,September,Autumn,double,business trip,solo traveller,1,1
Exceptional,B&B N°5,9.5,Italy,10.0,"No plugs bed side.,

Un unexpected immersion in taste for design and hospitality. The history of the project speaks itself. Denise, the owner, is “magnifique”, no other words are required.",2021,June,Summer,double,business trip,solo traveller,2,1
You can hear your neighbor,Value Stay Brussels Expo Hotel,7.4,Poland,5.8,"Very loud in the room, hard to sleep,

Close to my destination place",2020,January,Winter,twin,business trip,people with friends,2,0
Good,Marivaux Hotel,8.5,Russia,7.9,There are no comments available for this review,2019,March,Spring,double,leisure trip,couple,1,1
Superb,Hotel Bourgoensch Hof,8.4,Italy,9.0,There are no comments available for this review,2020,December,Winter,other,leisure trip,couple,1,1
Great Place to stay,YOOMA Urban Lodge,8.6,Germany,10.0,"Clean, close to the center, friendly and helpful staff - everything was great. Very recommendable place to stay",2019,July,Summer,other,leisure trip,couple,1,1
Part of a Cassel to Laufen (OberBayern) bicycle ride.,De Zon B&B,9.5,United Kingdom,9.6,"Nothing!,

The room is in a self contained building at the rear of the Owner's house. It is a delightful room and fully equipped with everything essential and an awful lot more! There is an excellent Chinese restaurant 3 minutes away by bicycle and a good supermarket 10 minutes away. The pleasant town is a little further but has numerous shops, restaurants and cafes. I'd also like to say how helpful, friendly and ""all round nice"" the Owners are. I was cycling along a route associated with 1940 Prisoners of War and the Owner is both interested in history (across the centuries) and cycling so it was really hard to leave next day!",2019,June,Summer,family_room,leisure trip,solo traveller,1,1
Very good,Mercure Antwerp City South,7.9,United Kingdom,8.0,"The food was fairly poor quality, for breakfast and for dinner. For dinner I resorted to using food delivery services and I ended up skipping breakfast on my last day,

The front desk staff were exceptionally friendly and helpful.",2021,May,Spring,double,business trip,solo traveller,4,1
Passable,Novotel Brussels City Centre,8.5,Pakistan,5.4,There are no comments available for this review,2018,October,Autumn,double,business trip,group,1,0
Very enjoyable !,NH Brussels EU Berlaymont,8.5,Belgium,8.8,Excellent ! A large choice of food.The personnel attending the breakfast room was very friendly and professional.,2019,May,Spring,double,leisure trip,couple,3,1
Very good,Hotel Aazaert by WP Hotels,8.6,Germany,8.0,"Bed is so soft,

Quite and staff is very good",2020,January,Winter,other,business trip,group,1,1
"Great value for money, friendly staff, clean rooms.",TripInn Eden Antwerp,7.5,Netherlands,8.0,"The room was a bit noisy - I could hear people in the other rooms and in the streets.,

The room was comfortable and cozy, even better than I expected. The staff was very friendly and the location also did not disappoint! :) Very happy they made an exception and let me check-in before 3pm. Overall good value for money! I'd stay there again!",2021,May,Spring,double,leisure trip,solo traveller,1,1
Good,B&B Pittoresque,8.4,Belgium,7.0,There are no comments available for this review,2020,November,Autumn,double,leisure trip,couple,1,0
Fantastic location,Hotel Boterhuis,8.8,United Kingdom,7.5,"Vertical Shower support kept slipping down on the pole & came off completely making showering awkward. Just needed a little maintenance. Left mantras needs to be replaced as the springs are very evident under the sheets.,

Staff & location",2019,April,Spring,double,leisure trip,couple,3,1
Good,Hygge Hotel,8.6,Netherlands,7.5,"Because there was no exhaust system in the bathroom the room became very damp and warm on a hot spring day as ours.,

Clean, minimaal but warm. Very scandinavian feel to it. The room was simple but had everything it needed.",2019,June,Summer,double,leisure trip,couple,1,1
Superb,Aparthotel Adagio Access Bruxelles Europe Aparthotel,8.7,Germany,9.0,"Very good economy hotel in Brussels, located very close to the EU Parliament.",2020,February,Winter,studio,leisure trip,solo traveller,1,1
Exceptional,Marivaux Hotel,8.5,Russia,10.0,"No room service on Sundays,

Staff is super friendly and helpful, the design is great, location is perfect, rooms are super comfy",2019,March,Spring,suite,business trip,solo traveller,2,1
Very good,Hotel Saint-Martin,8.7,Belgium,8.0,There are no comments available for this review,2020,August,Summer,double,business trip,solo traveller,2,1
